"Aba","Fejér"
"Abádszalók","Jász-Nagykun-Szolnok"
"Abaliget","Baranya"
"Abasár","Heves"
"Abaújalpár","Borsod-Abaúj-Zemplén"
"Abaújkér","Borsod-Abaúj-Zemplén"
"Abaújlak","Borsod-Abaúj-Zemplén"
"Abaújszántó","Borsod-Abaúj-Zemplén"
"Abaújszolnok","Borsod-Abaúj-Zemplén"
"Abaújvár","Borsod-Abaúj-Zemplén"
"Abda","Győr-Moson-Sopron"
"Abod","Borsod-Abaúj-Zemplén"
"Abony","Pest"
"Ábrahámhegy","Veszprém"
"Ács","Komárom-Esztergom"
"Acsa","Pest"
"Acsád","Vas"
"Acsalag","Győr-Moson-Sopron"
"Ácsteszér","Komárom-Esztergom"
"Adács","Heves"
"Ádánd","Somogy"
"Adásztevel","Veszprém"
"Adony","Fejér"
"Adorjánháza","Veszprém"
"Adorjás","Baranya"
"Ág","Baranya"
"Ágasegyháza","Bács-Kiskun"
"Ágfalva","Győr-Moson-Sopron"
"Aggtelek","Borsod-Abaúj-Zemplén"
"Agyagosszergény","Győr-Moson-Sopron"
"Ajak","Szabolcs-Szatmár-Bereg"
"Ajka","Veszprém"
"Aka","Komárom-Esztergom"
"Akasztó","Bács-Kiskun"
"Alacska","Borsod-Abaúj-Zemplén"
"Alap","Fejér"
"Alattyán","Jász-Nagykun-Szolnok"
"Albertirsa","Pest"
"Alcsútdoboz","Fejér"
"Aldebrő","Heves"
"Algyő","Csongrád"
"Alibánfa","Zala"
"Almamellék","Baranya"
"Almásfüzitő","Komárom-Esztergom"
"Almásháza","Zala"
"Almáskamarás","Békés"
"Almáskeresztúr","Baranya"
"Álmosd","Hajdú-Bihar"
"Alsóberecki","Borsod-Abaúj-Zemplén"
"Alsóbogát","Somogy"
"Alsódobsza","Borsod-Abaúj-Zemplén"
"Alsógagy","Borsod-Abaúj-Zemplén"
"Alsómocsolád","Baranya"
"Alsónána","Tolna"
"Alsónémedi","Pest"
"Alsónemesapáti","Zala"
"Alsónyék","Tolna"
"Alsóörs","Veszprém"
"Alsópáhok","Zala"
"Alsópetény","Nógrád"
"Alsórajk","Zala"
"Alsóregmec","Borsod-Abaúj-Zemplén"
"Alsószenterzsébet","Zala"
"Alsószentiván","Fejér"
"Alsószentmárton","Baranya"
"Alsószölnök","Vas"
"Alsószuha","Borsod-Abaúj-Zemplén"
"Alsótelekes","Borsod-Abaúj-Zemplén"
"Alsótold","Nógrád"
"Alsóújlak","Vas"
"Alsóvadász","Borsod-Abaúj-Zemplén"
"Alsózsolca","Borsod-Abaúj-Zemplén"
"Ambrózfalva","Csongrád"
"Anarcs","Szabolcs-Szatmár-Bereg"
"Andocs","Somogy"
"Andornaktálya","Heves"
"Andrásfa","Vas"
"Annavölgy","Komárom-Esztergom"
"Apácatorna","Veszprém"
"Apagy","Szabolcs-Szatmár-Bereg"
"Apaj","Pest"
"Aparhant","Tolna"
"Apátfalva","Csongrád"
"Apátistvánfalva","Vas"
"Apátvarasd","Baranya"
"Apc","Heves"
"Áporka","Pest"
"Apostag","Bács-Kiskun"
"Aranyosapáti","Szabolcs-Szatmár-Bereg"
"Aranyosgadány","Baranya"
"Arka","Borsod-Abaúj-Zemplén"
"Arló","Borsod-Abaúj-Zemplén"
"Arnót","Borsod-Abaúj-Zemplén"
"Ároktő","Borsod-Abaúj-Zemplén"
"Árpádhalom","Csongrád"
"Árpás","Győr-Moson-Sopron"
"Ártánd","Hajdú-Bihar"
"Ásotthalom","Csongrád"
"Ásványráró","Győr-Moson-Sopron"
"Aszaló","Borsod-Abaúj-Zemplén"
"Ászár","Komárom-Esztergom"
"Aszód","Pest"
"Aszófő","Veszprém"
"Áta","Baranya"
"Átány","Heves"
"Atkár","Heves"
"Attala","Tolna"
"Babarc","Baranya"
"Babarcszőlős","Baranya"
"Babócsa","Somogy"
"Bábolna","Komárom-Esztergom"
"Bábonymegyer","Somogy"
"Babosdöbréte","Zala"
"Babót","Győr-Moson-Sopron"
"Bácsalmás","Bács-Kiskun"
"Bácsbokod","Bács-Kiskun"
"Bácsborsód","Bács-Kiskun"
"Bácsszentgyörgy","Bács-Kiskun"
"Bácsszőlős","Bács-Kiskun"
"Badacsonytomaj","Veszprém"
"Badacsonytördemic","Veszprém"
"Bag","Pest"
"Bagamér","Hajdú-Bihar"
"Baglad","Zala"
"Bagod","Zala"
"Bágyogszovát","Győr-Moson-Sopron"
"Baj","Komárom-Esztergom"
"Baja","Bács-Kiskun"
"Bajánsenye","Vas"
"Bajna","Komárom-Esztergom"
"Bajót","Komárom-Esztergom"
"Bak","Zala"
"Bakháza","Somogy"
"Bakóca","Baranya"
"Bakonszeg","Hajdú-Bihar"
"Bakonya","Baranya"
"Bakonybánk","Komárom-Esztergom"
"Bakonybél","Veszprém"
"Bakonycsernye","Fejér"
"Bakonygyirót","Győr-Moson-Sopron"
"Bakonyjákó","Veszprém"
"Bakonykoppány","Veszprém"
"Bakonykúti","Fejér"
"Bakonynána","Veszprém"
"Bakonyoszlop","Veszprém"
"Bakonypéterd","Győr-Moson-Sopron"
"Bakonypölöske","Veszprém"
"Bakonyság","Veszprém"
"Bakonysárkány","Komárom-Esztergom"
"Bakonyszentiván","Veszprém"
"Bakonyszentkirály","Veszprém"
"Bakonyszentlászló","Győr-Moson-Sopron"
"Bakonyszombathely","Komárom-Esztergom"
"Bakonyszücs","Veszprém"
"Bakonytamási","Veszprém"
"Baks","Csongrád"
"Baksa","Baranya"
"Baktakék","Borsod-Abaúj-Zemplén"
"Baktalórántháza","Szabolcs-Szatmár-Bereg"
"Baktüttös","Zala"
"Balajt","Borsod-Abaúj-Zemplén"
"Balassagyarmat","Nógrád"
"Balástya","Csongrád"
"Balaton","Heves"
"Balatonakali","Veszprém"
"Balatonalmádi","Veszprém"
"Balatonberény","Somogy"
"Balatonboglár","Somogy"
"Balatoncsicsó","Veszprém"
"Balatonederics","Veszprém"
"Balatonendréd","Somogy"
"Balatonfenyves","Somogy"
"Balatonfőkajár","Veszprém"
"Balatonföldvár","Somogy"
"Balatonfüred","Veszprém"
"Balatonfűzfő","Veszprém"
"Balatongyörök","Zala"
"Balatonhenye","Veszprém"
"Balatonkenese","Veszprém"
"Balatonkeresztúr","Somogy"
"Balatonlelle","Somogy"
"Balatonmagyaród","Zala"
"Balatonmáriafürdő","Somogy"
"Balatonőszöd","Somogy"
"Balatonrendes","Veszprém"
"Balatonszabadi","Somogy"
"Balatonszárszó","Somogy"
"Balatonszemes","Somogy"
"Balatonszentgyörgy","Somogy"
"Balatonszepezd","Veszprém"
"Balatonszőlős","Veszprém"
"Balatonudvari","Veszprém"
"Balatonújlak","Somogy"
"Balatonvilágos","Veszprém"
"Balinka","Fejér"
"Balkány","Szabolcs-Szatmár-Bereg"
"Ballószög","Bács-Kiskun"
"Balmazújváros","Hajdú-Bihar"
"Balogunyom","Vas"
"Balotaszállás","Bács-Kiskun"
"Balsa","Szabolcs-Szatmár-Bereg"
"Bálványos","Somogy"
"Bana","Komárom-Esztergom"
"Bánd","Veszprém"
"Bánfa","Baranya"
"Bánhorváti","Borsod-Abaúj-Zemplén"
"Bánk","Nógrád"
"Bánokszentgyörgy","Zala"
"Bánréve","Borsod-Abaúj-Zemplén"
"Bár","Baranya"
"Barabás","Szabolcs-Szatmár-Bereg"
"Baracs","Fejér"
"Baracska","Fejér"
"Báránd","Hajdú-Bihar"
"Baranyahídvég","Baranya"
"Baranyajenő","Baranya"
"Baranyaszentgyörgy","Baranya"
"Barbacs","Győr-Moson-Sopron"
"Barcs","Somogy"
"Bárdudvarnok","Somogy"
"Barlahida","Zala"
"Bárna","Nógrád"
"Barnag","Veszprém"
"Bársonyos","Komárom-Esztergom"
"Basal","Baranya"
"Baskó","Borsod-Abaúj-Zemplén"
"Báta","Tolna"
"Bátaapáti","Tolna"
"Bátaszék","Tolna"
"Baté","Somogy"
"Bátmonostor","Bács-Kiskun"
"Bátonyterenye","Nógrád"
"Bátor","Heves"
"Bátorliget","Szabolcs-Szatmár-Bereg"
"Battonya","Békés"
"Bátya","Bács-Kiskun"
"Batyk","Zala"
"Bázakerettye","Zala"
"Bazsi","Veszprém"
"Béb","Veszprém"
"Becsehely","Zala"
"Becske","Nógrád"
